start_iso,end_iso,offered_volume,aht_seconds
2026-07-22T11:00:00Z,2026-07-22T11:15:00Z,28,300
2026-07-22T11:15:00Z,2026-07-22T11:30:00Z,30,300
2026-07-22T11:30:00Z,2026-07-22T11:45:00Z,32,300
2026-07-22T11:45:00Z,2026-07-22T12:00:00Z,35,300
2026-07-22T12:00:00Z,2026-07-22T12:15:00Z,72,300
2026-07-22T12:15:00Z,2026-07-22T12:30:00Z,78,300
2026-07-22T12:30:00Z,2026-07-22T12:45:00Z,70,300
2026-07-22T12:45:00Z,2026-07-22T13:00:00Z,55,300
2026-07-22T13:00:00Z,2026-07-22T13:15:00Z,40,300
2026-07-22T13:15:00Z,2026-07-22T13:30:00Z,36,300
2026-07-22T13:30:00Z,2026-07-22T13:45:00Z,34,300
2026-07-22T13:45:00Z,2026-07-22T14:00:00Z,32,300
