agent_id,start_iso,end_iso,state,capacity
T1,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T1,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T1,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T2,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T2,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T2,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T3,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T3,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T3,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T4,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T4,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T4,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T5,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T5,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T5,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T6,2026-10-14T17:00:00Z,2026-10-14T18:00:00Z,AVAILABLE,1
T6,2026-10-14T18:00:00Z,2026-10-14T18:30:00Z,TRAINING,1
T6,2026-10-14T18:30:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T7,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T8,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T9,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T10,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T11,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T12,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T13,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
T14,2026-10-14T17:00:00Z,2026-10-14T19:00:00Z,AVAILABLE,1
